paper_id,csv_title,bibtex_title,similarity_score,match_status,csv_present,bibtex_present,title_length_csv,title_length_bibtex
ref17,Fault-tolerant and Transactional Stateful Serverless Workflows,Halfmoon: Log-Optimal Fault-Tolerant Stateful Serverless Computing,0.565,PARTIAL_MATCH,True,True,62,66
ref18,CloudBurst: Stateful Functions-as-a-Service,Stateful functions as a service in action,0.7,SIMILAR_MATCH,True,True,43,41
ref19,A Fault-Tolerance Shim for Serverless Computing,A fault-tolerance shim for serverless computing,1.0,EXACT_MATCH,True,True,47,47
ref20,OFC: An Opportunistic Caching System for FaaS Platforms,Benchmarking parallelism in FaaS platforms,0.521,PARTIAL_MATCH,True,True,55,42
ref21,Valve: Securing Function Workflows on Serverless Computing Platforms,Valve: Securing Function Workflows on Serverless Computing Platforms,1.0,EXACT_MATCH,True,True,68,68
ref22,S-FaaS: Trustworthy and Accountable Function-as-a-Service Using Intel SGX,Protecting OpenFlow using Intel SGX,0.447,DIFFERENT,True,True,73,35
ref23,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,1.0,EXACT_MATCH,True,True,79,79
ref24,Faasm: Lightweight Isolation for Efficient Stateful Serverless Computing,Efficient Fault Tolerance for Stateful Serverless Computing with Asymmetric Logging,0.506,PARTIAL_MATCH,True,True,72,83
ref25,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,1.0,EXACT_MATCH,True,True,87,87
ref26,Secure Serverless Computing Using Dynamic Information Flow Control,Secure serverless computing using dynamic information flow control,1.0,EXACT_MATCH,True,True,66,66
ref27,Workflow Integration Alleviates Identity and Access Management in Serverless Computing,Workflow Integration Alleviates Identity and Access Management in Serverless Computing,1.0,EXACT_MATCH,True,True,86,86
ref28,Sequoia: Enabling Quality-of-Service in Serverless Computing,Enabling Serverless Sky Computing,0.644,PARTIAL_MATCH,True,True,60,33
ref29,QoS Aware FaaS Platform,QoS aware FaaS platform,1.0,EXACT_MATCH,True,True,23,23
ref30,Cocoa: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,COCOA: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,1.0,EXACT_MATCH,True,True,77,77
ref31,Adaptive Function Launching Acceleration in Serverless Computing Platforms,Adaptive Function Launching Acceleration in Serverless Computing Platforms,1.0,EXACT_MATCH,True,True,74,74
ref32,Caerus: NIMBLE Task Scheduling for Serverless Analytics,ACTS: Autonomous Cost-Efficient Task Orchestration for Serverless Analytics,0.661,PARTIAL_MATCH,True,True,55,75
ref33,Kraken: Adaptive Container Provisioning for Deploying Dynamic DAGs in Serverless Platforms,ACPM: adaptive container provisioning model to mitigate serverless cold-start,0.707,SIMILAR_MATCH,True,True,90,77
ref34,Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement,Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement in Public Cloud,0.91,EXACT_MATCH,True,True,82,98
ref35,Defuse: A Dependency-Guided Function Scheduler to Mitigate Cold Starts on FaaS Platforms,Defuse: A Dependency-Guided Function Scheduler to Mitigate Cold Starts on FaaS Platforms,1.0,EXACT_MATCH,True,True,88,88
ref36,Modeling and Optimization of Performance and Cost of Serverless Applications,Modeling and Optimization of Performance and Cost of Serverless Applications,1.0,EXACT_MATCH,True,True,76,76
ref37,Costless: Optimizing Cost of Serverless Computing through Function Fusion and Placement,Costless: Optimizing Cost of Serverless Computing through Function Fusion and Placement,1.0,EXACT_MATCH,True,True,87,87
ref38,"Be Wary of the Economics of ""Serverless"" Cloud Computing","Be Wary of the Economics of ""Serverless"" Cloud Computing",1.0,EXACT_MATCH,True,True,56,56
ref39,Optimal Pricing for Serverless Computing,Optimal Pricing for Serverless Computing,1.0,EXACT_MATCH,True,True,40,40
ref40,Cost-Aware Migration to Functions-as-a-Service Architecture,Cost-aware service function chain migration in satellite-ground integrated networks,0.441,DIFFERENT,True,True,59,83
ref41,Predicting Performance and Cost of Serverless Functions with SAAF,Predicting Performance and Cost of Serverless Computing Functions with SAAF,0.929,EXACT_MATCH,True,True,65,75
ref42,FaaSNet: Scalable and Fast Provisioning of Custom Serverless Container Runtimes,Prediction-driven resource provisioning for serverless container runtimes,0.68,PARTIAL_MATCH,True,True,79,73
ref43,"CSPOT: Portable, Multi-Scale FaaS for IoT",CSPOT,0.233,DIFFERENT,True,True,41,5
ref44,Reducing Environmental Impact with Sustainable Serverless Computing,Reducing Environmental Impact with Sustainable Serverless Computing,1.0,EXACT_MATCH,True,True,67,67
ref45,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,1.0,EXACT_MATCH,True,True,75,75
ref46,RAEF: Energy-efficient Resource Allocation through Energy Fungibility in Serverless,RAEF: Energy-efficient Resource Allocation through Energy Fungibility in Serverless,1.0,EXACT_MATCH,True,True,83,83
ref47,Integrating Energy Consumption in the Development of Serverless Applications,Integrating energy consumption in the development of serverless applications,1.0,EXACT_MATCH,True,True,76,76
ref48,Harvesting Idle Resources for Accelerating Serverless Computing,Accelerating Serverless Computing by Harvesting Idle Resources,0.528,PARTIAL_MATCH,True,True,63,62
ref49,A Holistic View on Resource Management in Serverless Computing Environments: Taxonomy and Future Directions,A Holistic View on Resource Management in Serverless Computing Environments: Taxonomy and Future Directions,1.0,EXACT_MATCH,True,True,107,107
ref50,"Serverless Computing: State-of-the-Art, Challenges and Opportunities","Serverless Computing: State-of-the-Art, Challenges and Opportunities",1.0,EXACT_MATCH,True,True,68,68
ref51,Scheduling Methods to Reduce Response Latency of Function as a Service,Scheduling Methods to Reduce Response Latency of Function as a Service,1.0,EXACT_MATCH,True,True,70,70
ref52,DistributedFaaS: Execution of Containerized Serverless Applications in Multi-Cloud Infrastructures,DistributedFaaS: Execution of Containerized Serverless Applications in Multi-Cloud Infrastructures,1.0,EXACT_MATCH,True,True,98,98
ref53,Adaptive Container Provisioning for Serverless Workflows (SFL Compiler),ACPM: adaptive container provisioning model to mitigate serverless cold-start,0.681,PARTIAL_MATCH,True,True,71,77
ref54,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,1.0,EXACT_MATCH,True,True,73,73
ref55,Sizeless: Predicting the Optimal Size of Serverless Functions,Predicting Performance and Cost of Serverless Computing Functions with SAAF,0.578,PARTIAL_MATCH,True,True,61,75
ref56,"Resource Management for Cloud Functions with Memory Tracing, Profiling and Autotuning","Resource Management for Cloud Functions with Memory Tracing, Profiling and Autotuning",1.0,EXACT_MATCH,True,True,85,85
ref57,EMARS: Efficient Management and Allocation of Resources in Serverless,EMARS: Efficient Management and Allocation of Resources in Serverless,1.0,EXACT_MATCH,True,True,69,69
ref58,Skedulix: Hybrid Cloud Scheduling for Cost-Efficient Serverless Execution,Skedulix: Hybrid Cloud Scheduling for Cost-Efficient Execution of Serverless Applications,0.848,SIMILAR_MATCH,True,True,73,89
ref59,Optimizing Serverless Computing: Introducing an Adaptive Function Placement Algorithm,An adaptive function placement in serverless computing,0.478,DIFFERENT,True,True,85,54
ref60,AuctionWhisk: Auction-Inspired Approach for Function Placement in Serverless Fog Platforms,AuctionWhisk: Using an auction‐inspired approach for function placement in serverless fog platforms,0.951,EXACT_MATCH,True,True,90,99
ref61,Comparison of FaaS Platform Performance in Private Clouds,Comparison of FaaS Platform Performance in Private Clouds,1.0,EXACT_MATCH,True,True,57,57
ref62,ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms,ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms,1.0,EXACT_MATCH,True,True,69,69
ref63,Performance Evaluation of Serverless Applications and Infrastructures,Serverless Computing Performance Evaluation,0.393,DIFFERENT,True,True,69,43
ref64,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,1.0,EXACT_MATCH,True,True,127,127
ref65,Optimizing Cold Start Performance in Serverless Computing Environments,Optimizing Cold Start Performance in Serverless Computing Environments,1.0,EXACT_MATCH,True,True,70,70
ref66,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,1.0,EXACT_MATCH,True,True,91,91
ref67,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,1.0,EXACT_MATCH,True,True,64,64
ref68,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,1.0,EXACT_MATCH,True,True,76,76
ref69,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,1.0,EXACT_MATCH,True,True,88,88
ref70,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,1.0,EXACT_MATCH,True,True,74,74
ref71,Towards Quality of Experience Fairness for Serverless Functions,Towards Quality of Experience Fairness for Serverless Functions,1.0,EXACT_MATCH,True,True,63,63
ref72,Enabling HPC Scientific Workflows for Serverless,Enabling HPC Scientific Workflows for Serverless,1.0,EXACT_MATCH,True,True,48,48
ref73,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,1.0,EXACT_MATCH,True,True,91,91
ref74,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,1.0,EXACT_MATCH,True,True,91,91
ref75,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects","Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",1.0,EXACT_MATCH,True,True,88,88
ref76,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,1.0,EXACT_MATCH,True,True,86,86
ref77,Serverless Edge Computing Framework for Efficient Offloading Method with Time Frame Based Priority Resource Management,Serverless Edge Computing Framework for Efficient Offloading Method with Time Frame Based Priority Resource Management,1.0,EXACT_MATCH,True,True,118,118
ref78,Toward security quantification of serverless computing,Toward security quantification of serverless computing,1.0,EXACT_MATCH,True,True,54,54
ref79,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,1.0,EXACT_MATCH,True,True,75,75
ref80,A Performance Benchmark for Serverless Function Triggers,TriggerBench: A Performance Benchmark for Serverless Function Triggers,0.896,SIMILAR_MATCH,True,True,56,70
ref81,Designing Quality of Service aware Serverless Platforms,Keynote: Designing Serverless Platforms to Support Emerging Applications,0.476,DIFFERENT,True,True,55,72
ref82,ENERGY-EFFICIENT AND COST-EFFECTIVE SERVERLESS COMPUTING,"FaaSGraph: Enabling Scalable, Efficient, and Cost-Effective Graph Processing with Serverless Computing",0.671,PARTIAL_MATCH,True,True,56,102
ref83,Practical Cloud Workloads for Serverless FaaS,Practical Cloud Workloads for Serverless FaaS,1.0,EXACT_MATCH,True,True,45,45
ref84,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,1.0,EXACT_MATCH,True,True,73,73
ref85,Analyzing Tail Latency in Serverless Clouds with STeLLAR,Analyzing Tail Latency in Serverless Clouds with STeLLAR,1.0,EXACT_MATCH,True,True,56,56
ref86,Benchmarking Serverless Computing Platforms,Benchmarking Serverless Computing Platforms,1.0,EXACT_MATCH,True,True,43,43
ref87,Comparison of FaaS Platform Performance in Private Clouds,Comparison of FaaS Platform Performance in Private Clouds,1.0,EXACT_MATCH,True,True,57,57
ref88,SeBS: A Serverless Benchmark Suite for Function-as-a-Service Computing,SeBS-Flow: Benchmarking Serverless Cloud Function Workflows,0.488,DIFFERENT,True,True,70,59
ref89,"Performance Evaluation Of Amazon's, Google's, And Microsoft's Serverless Functions: A Comparative Study","Comparative Study of Cloud Services Offered by Amazon, Microsoft and Google",0.199,DIFFERENT,True,True,103,75
ref90,Evaluating Serverless Function Deployment Models on AWS Lambda,Evaluating Serverless Function Deployment Models on AWS Lambda,1.0,EXACT_MATCH,True,True,62,62
ref91,Function-as-a-Service Benchmarking Framework,Function-as-a-Service Benchmarking Framework,1.0,EXACT_MATCH,True,True,44,44
ref92,Serverless Computing & Function-as-a-Service (FaaS) Optimization,Serverless Computing &amp; Function-as-a-Service (FaaS) Optimization,0.975,EXACT_MATCH,True,True,64,68
ref93,Rise of the Planet of Serverless Computing: A Systematic Review,Rise of the Planet of Serverless Computing: A Systematic Review,1.0,EXACT_MATCH,True,True,63,63
ref94,Towards Seamless Serverless Computing Across an Edge-Cloud Continuum,Towards Seamless Serverless Computing Across an Edge-Cloud Continuum,1.0,EXACT_MATCH,True,True,68,68
ref95,An Application-Centric Benchmarking Framework for FaaS Platforms,BeFaaS: An Application-Centric Benchmarking Framework for FaaS Platforms,0.947,EXACT_MATCH,True,True,64,72
ref96,Function-as-a-Service Performance Evaluation: A Multivocal Literature Review,Function-as-a-Service performance evaluation: A multivocal literature review,1.0,EXACT_MATCH,True,True,76,76
ref97,Survey on serverless computing: Performance evaluation & benchmarking,Performance Benchmarking of Serverless Computing Platforms,0.496,DIFFERENT,True,True,69,58
ref98,Function-as-a-Service Performance Evaluation: A Multivocal Literature Review,Function-as-a-Service performance evaluation: A multivocal literature review,1.0,EXACT_MATCH,True,True,76,76
ref99,Benchmarking Serverless Computing Platforms,Benchmarking Serverless Computing Platforms,1.0,EXACT_MATCH,True,True,43,43
ref100,Serverless Computing: Current Trends and Open Problems – A Comprehensive Survey,Serverless Computing: Current Trends and Open Problems,0.815,SIMILAR_MATCH,True,True,79,54
ref101,Toward security quantification of serverless computing,Toward security quantification of serverless computing,1.0,EXACT_MATCH,True,True,54,54
ref102,A survey on cold-start latency approaches in serverless computing,A survey on the cold start latency approaches in serverless computing: an optimization-based perspective,0.771,SIMILAR_MATCH,True,True,65,104
ref103,Optimizing cold start performance in serverless computing environments,Optimizing Cold Start Performance in Serverless Computing Environments,1.0,EXACT_MATCH,True,True,70,70
ref104,Low-latency edge-cloud serverless computing with a multi-armed bandit scheduler,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,0.927,EXACT_MATCH,True,True,79,91
ref105,FUYAO: DPU-enabled direct data transfer for serverless computing,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,1.0,EXACT_MATCH,True,True,64,64
ref106,Tackling cold start in serverless computing with multi-level container reuse,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,1.0,EXACT_MATCH,True,True,76,76
ref107,Analyzing tail latency in serverless clouds with STeLLAR,Analyzing Tail Latency in Serverless Clouds with STeLLAR,1.0,EXACT_MATCH,True,True,56,56
ref108,EdgeFaaSBench: Benchmarking edge devices using serverless computing,EdgeFaaSBench: Benchmarking Edge Devices Using Serverless Computing,1.0,EXACT_MATCH,True,True,67,67
ref109,BenchFaaS: Benchmarking serverless functions in an edge computing network testbed,BenchFaaS: Benchmarking Serverless Functions in an Edge Computing Network Testbed,1.0,EXACT_MATCH,True,True,81,81
ref110,Performance characterization of data-store event triggers for serverless computing,Performance Characterization of Data Store Event Trigger Mechanisms for Serverless Computing,0.936,EXACT_MATCH,True,True,82,92
ref111,SeBS-Flow: Benchmarking serverless cloud function workflows,SeBS-Flow: Benchmarking Serverless Cloud Function Workflows,1.0,EXACT_MATCH,True,True,59,59
ref112,Accelerating serverless computing by harvesting idle resources,Accelerating Serverless Computing by Harvesting Idle Resources,1.0,EXACT_MATCH,True,True,62,62
ref113,Scalable continuous benchmarking on cloud FaaS platforms,ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms,0.903,EXACT_MATCH,True,True,56,69
ref114,Comparison of FaaS performance in private clouds,Comparison of FaaS Platform Performance in Private Clouds,0.914,EXACT_MATCH,True,True,48,57
ref115,Evaluating serverless deployment models on AWS Lambda,Evaluating Serverless Function Deployment Models on AWS Lambda,0.922,EXACT_MATCH,True,True,53,62
ref116,Function-as-a-Service benchmarking framework,Function-as-a-Service Benchmarking Framework,1.0,EXACT_MATCH,True,True,44,44
ref117,Benchmarking serverless computing: performance and usability,Performance Benchmarking of Serverless Computing Platforms,0.684,PARTIAL_MATCH,True,True,60,58
ref118,Serverless architecture for efficient Monte Carlo MCMC computation,A Serverless Architecture for Efficient and Scalable Monte Carlo Markov Chain Computation,0.826,SIMILAR_MATCH,True,True,66,89
ref119,Efficiency in the serverless paradigm: reuse & approximation aspects,Efficiency in the serverless cloud paradigm: A survey on the reusing and approximation aspects,0.818,SIMILAR_MATCH,True,True,68,94
ref120,Resource management review in serverless computing,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",0.637,PARTIAL_MATCH,True,True,50,88
ref121,Joint resource management & pricing for serverless edge offloading,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,0.781,SIMILAR_MATCH,True,True,66,86
ref122,ATOM: AI-powered sustainable resource management,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,0.681,PARTIAL_MATCH,True,True,48,91
ref123,On the power consumption of serverless functions: An evaluation,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,0.912,EXACT_MATCH,True,True,63,75
ref124,QoS fairness in serverless functions,Towards Quality of Experience Fairness for Serverless Functions,0.667,PARTIAL_MATCH,True,True,36,63
ref125,Security & privacy edge serverless anomaly detection,Privacy-preserving Real-time Anomaly Detection Using Edge Computing,0.569,PARTIAL_MATCH,True,True,52,67
ref126,Privacy quantification of serverless computing,Toward security quantification of serverless computing,0.84,SIMILAR_MATCH,True,True,46,54
ref127,GPU-oriented data transfer for serverless computing,GPU Enabled Serverless Computing Framework,0.609,PARTIAL_MATCH,True,True,51,42
ref128,Caching aided multi-tenant serverless computing,Multi-Agent Learning-based Package Caching in Serverless Edge Computing,0.539,PARTIAL_MATCH,True,True,47,71
ref129,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,1.0,EXACT_MATCH,True,True,127,127
ref130,Optimizing Cold Start Performance in Serverless Computing Environments,Optimizing Cold Start Performance in Serverless Computing Environments,1.0,EXACT_MATCH,True,True,70,70
ref131,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,1.0,EXACT_MATCH,True,True,91,91
ref132,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,1.0,EXACT_MATCH,True,True,64,64
ref133,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,1.0,EXACT_MATCH,True,True,76,76
ref134,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,1.0,EXACT_MATCH,True,True,88,88
ref135,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,1.0,EXACT_MATCH,True,True,74,74
ref136,Towards Quality of Experience Fairness for Serverless Functions,Towards Quality of Experience Fairness for Serverless Functions,1.0,EXACT_MATCH,True,True,63,63
ref137,Enabling HPC Scientific Workflows for Serverless,Enabling HPC Scientific Workflows for Serverless,1.0,EXACT_MATCH,True,True,48,48
ref138,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,1.0,EXACT_MATCH,True,True,91,91
ref139,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,1.0,EXACT_MATCH,True,True,91,91
ref140,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects","Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",1.0,EXACT_MATCH,True,True,88,88
ref141,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,1.0,EXACT_MATCH,True,True,86,86
ref142,Toward security quantification of serverless computing,Toward security quantification of serverless computing,1.0,EXACT_MATCH,True,True,54,54
ref143,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,1.0,EXACT_MATCH,True,True,75,75
ref144,A Performance Benchmark for Serverless Function Triggers,TriggerBench: A Performance Benchmark for Serverless Function Triggers,0.896,SIMILAR_MATCH,True,True,56,70
ref145,Designing Quality of Service aware Serverless Platforms,Keynote: Designing Serverless Platforms to Support Emerging Applications,0.476,DIFFERENT,True,True,55,72
ref146,ENERGY-EFFICIENT AND COST-EFFECTIVE SERVERLESS COMPUTING,"FaaSGraph: Enabling Scalable, Efficient, and Cost-Effective Graph Processing with Serverless Computing",0.671,PARTIAL_MATCH,True,True,56,102
ref147,Practical Cloud Workloads for Serverless FaaS,Practical Cloud Workloads for Serverless FaaS,1.0,EXACT_MATCH,True,True,45,45
ref148,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,1.0,EXACT_MATCH,True,True,73,73
ref149,Scalable Continuous Benchmarking on Cloud FaaS Platforms,ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms,0.903,EXACT_MATCH,True,True,56,69
ref150,Comparison of FaaS Platform Performance in Private Clouds,Comparison of FaaS Platform Performance in Private Clouds,1.0,EXACT_MATCH,True,True,57,57
ref151,Evaluating Serverless Function Deployment Models on AWS Lambda,Evaluating Serverless Function Deployment Models on AWS Lambda,1.0,EXACT_MATCH,True,True,62,62
ref152,Serverless Computing & Function-as-a-Service (FaaS) Optimization,Serverless Computing &amp; Function-as-a-Service (FaaS) Optimization,0.975,EXACT_MATCH,True,True,64,68
ref153,Cold Start Latency in Serverless Computing: A Systematic Review,A Review: Cold Start Latency in Serverless Computing,0.743,SIMILAR_MATCH,True,True,63,52
ref154,"Lightweight, Secure and Stateful Serverless Computing with PSL","Stateful Serverless Computing with
            <scp>Crucial</scp>",0.679,PARTIAL_MATCH,True,True,62,65
ref155,Caching Aided Multi-Tenant Serverless Computing,Multi-Agent Learning-based Package Caching in Serverless Edge Computing,0.539,PARTIAL_MATCH,True,True,47,71
ref156,Towards Fast Setup and High Throughput of GPU Serverless Computing,EDAS: Enabling Fast Data Loading for GPU Serverless Computing,0.619,PARTIAL_MATCH,True,True,66,61
ref157,Serverless Actors with Short-Term Memory State for the Edge-Cloud Continuum,GoldFish: Serverless Actors with Short-Term Memory State for the Edge-Cloud Continuum,0.942,EXACT_MATCH,True,True,75,85
ref158,LLM-Based Misconfiguration Detection for AWS Serverless Computing,LLM-Based Misconfiguration Detection for AWS Serverless Computing,1.0,EXACT_MATCH,True,True,65,65
ref159,Input-Based Ensemble-Learning Method for Dynamic Memory Configuration,Input-Based Ensemble-Learning Method for Dynamic Memory Configuration of Serverless Computing Functions,0.798,SIMILAR_MATCH,True,True,69,103
ref160,FaaSTube: Optimizing GPU-oriented Data Transfer for Serverless Computing,Optimizing Serverless Computing,0.614,PARTIAL_MATCH,True,True,72,31
ref161,Serverless Computing for Scientific Applications,Serverless Computing for Scientific Applications,1.0,EXACT_MATCH,True,True,48,48
ref162,Efficiency in the Serverless Cloud Paradigm: Reusing and Approximation Aspects,Efficiency in the serverless cloud paradigm: A survey on the reusing and approximation aspects,0.906,EXACT_MATCH,True,True,78,94
ref163,Software Engineering for Serverless Computing,Serverless Computing and Data Engineering,0.465,DIFFERENT,True,True,45,41
ref164,LaSS: Running Latency Sensitive Serverless Computations at the Edge,Operating Latency Sensitive Applications on Public Serverless Edge Cloud Platforms,0.514,PARTIAL_MATCH,True,True,67,82
ref165,Accelerating Serverless Computing by Harvesting Idle Resources,Accelerating Serverless Computing by Harvesting Idle Resources,1.0,EXACT_MATCH,True,True,62,62
ref166,In-Storage Domain-Specific Acceleration for Serverless Computing,In-Storage Domain-Specific Acceleration for Serverless Computing,1.0,EXACT_MATCH,True,True,64,64
ref167,A Serverless Architecture for Efficient Monte Carlo Markov Chain Computation,A Serverless Architecture for Efficient and Scalable Monte Carlo Markov Chain Computation,0.921,EXACT_MATCH,True,True,76,89
ref168,Energy Efficiency Support for Software Defined Networks: a Serverless Computing Approach,A Serverless Computing Platform for Software Defined Networks,0.5,PARTIAL_MATCH,True,True,88,61
